Number,URL
1,https://www.facebook.com/
2,#
3,https://www.facebook.com/recover/initiate/?privacy_mutation_token=eyJ0eXBlIjowLCJjcmVhdGlvbl90aW1lIjoxNzEwNDgzMTA3LCJjYWxsc2l0ZV9pZCI6MzgxMjI5MDc5NTc1OTQ2fQ%3D%3D&ars=facebook_login
4,/pages/create/?ref_type=registration_form
5,https://es-la.facebook.com/
6,https://fr-fr.facebook.com/
7,https://zh-cn.facebook.com/
8,https://ar-ar.facebook.com/
9,https://pt-br.facebook.com/
10,https://it-it.facebook.com/
11,https://ko-kr.facebook.com/
12,https://de-de.facebook.com/
13,https://hi-in.facebook.com/
14,https://ja-jp.facebook.com/
15,/reg/
16,/login/
17,https://messenger.com/
18,/lite/
19,https://www.facebook.com/watch/
20,/places/
21,/games/
22,/marketplace/
23,https://pay.facebook.com/
24,https://www.meta.com/
25,https://www.meta.com/quest/
26,https://l.facebook.com/l.php?u=https%3A%2F%2Fimagine.meta.com%2F&h=AT2rTDGEROQFh2yrC7YU78f-aJRAQ9DGldxGd8PhlPcIdZLEptt6JWmHMwo3Up-xmJQGMoPQn1a_LRKsO45YQO3vfaEvISOpRcHbGxq2gJvaDZiBGnY3M5G9dsnUCcgdLP6VnQMnMzxaZDJy
27,https://l.facebook.com/l.php?u=https%3A%2F%2Fwww.instagram.com%2F&h=AT0Q1H-XMI2jxgEg_b4Cl9X5Wg_IRbcfsoAUhyGEKV-cE54suomudog35-3uiOkfwNxSrOwSS18uJ_Z5iSEUlEW4H0cxOwtgqe_8wuftQli9Vt09NHwY_lwpGhb6doFXvBuzTngbE3AEgZCa
28,https://www.threads.net/
29,/fundraisers/
30,/biz/directory/
31,/votinginformationcenter/?entry_point=c2l0ZQ%3D%3D
32,/privacy/policy/?entry_point=facebook_page_footer
33,/privacy/center/?entry_point=facebook_page_footer
34,/groups/discover/
35,https://about.meta.com/
36,/ad_campaign/landing.php?placement=pflo&campaign_id=402047449186&nav_source=unknown&extra_1=auto
37,/pages/create/?ref_type=site_footer
38,https://developers.facebook.com/?ref=pf
39,/careers/?ref=pf
40,/policies/cookies/
41,https://www.facebook.com/help/568137493302217
42,/policies?ref=pf
43,/help/?ref=pf
44,help/637205020878504
45,/settings
46,/allactivity?privacy_source=activity_log_top_menu
47,
